no,totalarea,sitearea,buildingarea,typicalfloorheight,totalheight,basement,groundlevel,parkinglot,type,type1,type2,type3,type4,type5,type6,type7,type8,type9,type10,type11,year,buildingcost,duration
51,6386.5,14902,2872.94,3.8,15.6,1,4,34,9,0,0,0,0,0,0,0,0,1,0,0,2015,7215,365
52,14254,90951.5,2371.93,4.2,48.65,1,11,132,9,0,0,0,0,0,0,0,0,1,0,0,2015,14771,900
53,7497.58,751255,1904.79,4.5,25.6,1,5,12,9,0,0,0,0,0,0,0,0,1,0,0,2015,9683,720
54,8234.15,751255,2517.88,4.2,24.85,1,5,40,9,0,0,0,0,0,0,0,0,1,0,0,2015,9890,720
55,8864.25,353677,1363.76,3.9,31.8,1,7,43,9,0,0,0,0,0,0,0,0,1,0,0,2015,9460,900
56,9498.74,6622.67,2028.54,4.2,21,1,7,69,9,0,0,0,0,0,0,0,0,1,0,0,2015,10201,540
57,9346.84,11150,2289.77,4.2,33.95,1,7,124,6,0,0,0,0,0,1,0,0,0,0,0,2015,11132,600
58,15583.96,18880,3028.8,4.2,28,1,6,162,6,0,0,0,0,0,1,0,0,0,0,0,2015,16901,540
59,12415,11062,2530.11,4.2,30.45,1,6,188,6,0,0,0,0,0,1,0,0,0,0,0,2015,13063,600
60,7962.38,3521.4,2065.28,4.2,23.79,1,4,62,6,0,0,0,0,0,1,0,0,0,0,0,2015,7842,650
61,13631.15,2633.7,1203.4,3,32.98,3,8,131,6,0,0,0,0,0,1,0,0,0,0,0,2015,15066,920
62,664.43,2069,593.1,3.9,6,0,2,18,6,0,0,0,0,0,1,0,0,0,0,0,2015,1226,230
63,3742.84,100000,2138.79,3.2,9.9,1,2,39,10,0,0,0,0,0,0,0,0,0,1,0,2015,7842,540
64,14498.29,32752,6547.05,4.2,30.3,1,4,93,10,0,0,0,0,0,0,0,0,0,1,0,2015,20481,450
65,14195.59,7217.68,3761.14,4.2,21,1,6,1237,7,0,0,0,0,0,0,1,0,0,0,0,2015,14006,1080
66,2931.1,1565,810.97,4.2,22.3,1,4,16,7,0,0,0,0,0,0,1,0,0,0,0,2015,3887,365
67,12172.1,39441,6158.5,5,21,1,4,256,7,0,0,0,0,0,0,1,0,0,0,0,2015,17651,537
68,7996.83,6240,1199.95,4.2,21,2,4,50,8,0,0,0,0,0,0,0,1,0,0,0,2015,13578,660
69,6571.63,19587,3168.91,4.2,19.5,2,3,205,8,0,0,0,0,0,0,0,1,0,0,0,2015,10407,510
70,8501.96,57477,4371.81,6.6,18.2,1,3,30,8,0,0,0,0,0,0,0,1,0,0,0,2015,11206,630
71,1745.21,5570,1432.75,5,7.7,1,2,16,1,1,0,0,0,0,0,0,0,0,0,0,2015,1546,150
72,5350,182095,1946.7,5.4,20.2,1,3,1830,1,1,0,0,0,0,0,0,0,0,0,0,2015,7631,480
73,9242.36,55950.78,4283.62,4.2,13.55,1,2,93,1,1,0,0,0,0,0,0,0,0,0,0,2015,12217,540
74,2540.29,2640,1392.24,4.5,13.8,1,3,46,1,1,0,0,0,0,0,0,0,0,0,0,2015,3600,540
